TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,AIR_SPEED,HS_DEPLOYED,PC_DEPLOYED,TEMPERATURE,PRESSURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,ROT_Z,CMD_ECHO,MISSION_TIME_VALUE
2056,15:35:57,1,S,LAUNCH_WAIT,3.3,0.0,N,N,24.8,93948,4.7,15:35:57,632.3,37.2283,-80.4234,3,-3.26,0.49,0.2,CXON,1112569
2056,15:35:58,2,S,LAUNCH_WAIT,3.3,0.0,N,N,25.1,93949,4.7,15:35:58,632.3,37.113,-80.2317,3,0.36,0.2,0.1,CXON,1112570
2056,15:35:59,3,S,LAUNCH_WAIT,3.3,0.0,N,N,24.7,93948,4.7,15:35:59,632.3,36.9979,-80.0405,3,3.13,0.12,0.1,CXON,1112571
2056,15:36:00,4,S,LAUNCH_WAIT,3.3,0.0,N,N,25.0,93948,4.6,15:36:00,632.3,36.8829,-79.8484,3,1.93,0.0,0.0,CXON,1112572
2056,15:36:01,5,S,LAUNCH_WAIT,0.0,0.0,N,N,25.2,93948,4.6,15:36:01,629.0,36.7675,-79.6571,3,0.19,0.97,0.4,CAL,1112573
2056,15:36:02,6,S,LAUNCH_WAIT,0.0,0.0,N,N,24.9,93948,4.6,15:36:02,629.0,36.6524,-79.4656,3,-1.81,0.04,0.4,CAL,1112574
2056,15:36:03,7,S,LAUNCH_WAIT,0.0,0.0,N,N,25.3,93948,4.6,15:36:03,629.0,36.537,-79.2744,3,-1.49,1.41,0.5,CAL,1112575
2056,15:36:04,8,S,LAUNCH_WAIT,0.3,0.3,N,N,25.4,93829,4.6,15:36:04,629.3,36.4216,-79.0823,3,-0.87,0.0,0.0,CAL,1112576
2056,15:36:05,9,S,ASCENT,25.6,25.3,N,N,25.6,93085,4.6,15:36:05,654.6,36.3063,-78.891,3,2.01,1.19,0.4,CAL,1112577
2056,15:36:06,10,S,ASCENT,59.8,34.2,N,N,25.9,92016,4.5,15:36:06,688.8,36.1912,-78.6994,3,1.09,0.17,0.1,CAL,1112578
2056,15:36:07,11,S,ASCENT,98.3,38.5,N,N,26.3,89603,4.5,15:36:07,727.3,36.0763,-78.5077,3,0.29,0.0,0.0,CAL,1112579
2056,15:36:09,12,S,ASCENT,172.9,74.6,N,N,26.7,88575,4.5,15:36:09,801.9,35.9612,-78.3158,3,-0.81,0.58,0.5,CAL,1112580
2056,15:36:10,13,S,ASCENT,245.1,72.2,N,N,27.4,87836,4.5,15:36:10,874.1,35.8459,-78.1246,3,-3.36,0.93,0.2,CAL,1112581
2056,15:36:11,14,S,ASCENT,301.2,56.1,N,N,27.9,87232,4.5,15:36:11,930.2,35.7306,-77.9329,3,-2.19,0.24,0.1,CAL,1112582
2056,15:36:12,15,S,ASCENT,378.4,77.2,N,N,28.7,86794,4.5,15:36:12,1007.4,35.6156,-77.7416,3,0.09,0.0,0.0,CAL,1112583
2056,15:36:13,16,S,ASCENT,456.8,78.4,N,N,28.6,86251,4.4,15:36:13,1085.8,35.5007,-77.5504,3,1.71,0.26,0.1,CAL,1112584
2056,15:36:14,17,S,ASCENT,521.7,64.9,N,N,28.6,86205,4.4,15:36:14,1150.7,35.3855,-77.3587,3,0.63,0.37,0.1,CAL,1112585
2056,15:36:15,18,S,ASCENT,589.6,67.9,N,N,28.8,86166,4.4,15:36:15,1218.6,35.2706,-77.1669,3,-1.16,0.64,0.3,CAL,1112586
2056,15:36:16,19,S,ASCENT,658.3,68.7,N,N,28.9,86216,4.4,15:36:16,1287.3,35.1551,-76.9755,4,-1.54,0.69,0.4,CAL,1112587
2056,15:36:17,20,S,ASCENT,722.4,64.1,N,N,28.7,86374,4.4,15:36:17,1351.4,35.0403,-76.7837,4,-1.58,1.16,0.3,CAL,1112588
2056,15:36:18,21,S,ASCENT,723.6,1.2,N,N,28.6,86533,4.4,15:36:18,1352.6,34.9254,-76.5919,4,0.1,1.18,0.4,CAL,1112589
2056,15:36:19,22,S,ROCKET_SEPARATION,722.3,1.3,N,N,28.5,86691,4.3,15:36:19,1351.3,34.8101,-76.4007,4,0.38,0.0,0.0,CAL,1112590
2056,15:36:20,23,S,ROCKET_SEPARATION,721.1,1.2,N,N,28.4,86850,4.3,15:36:20,1350.1,34.6952,-76.2087,4,3.41,1.06,0.3,CAL,1112591
2056,15:36:22,25,S,ROCKET_SEPARATION,718.6,2.5,N,N,28.2,87010,4.3,15:36:22,1347.6,34.5799,-76.0167,4,-0.18,0.13,0.1,CAL,1112592
2056,15:36:23,26,S,ROCKET_SEPARATION,716.9,1.7,N,N,28.1,87169,4.2,15:36:23,1345.9,34.465,-75.8248,4,-3.88,0.29,0.2,DEPLOY,1112593
2056,15:36:24,27,S,DESCENT,706.3,10.6,P,N,27.9,87329,4.2,15:36:24,1335.3,34.3494,-75.6331,4,-2.22,1.02,0.3,DEPLOY,1112594
2056,15:36:25,28,S,DESCENT,695.1,11.2,P,N,28.0,87488,4.1,15:36:25,1324.1,34.2341,-75.4417,4,-0.11,0.0,0.0,DEPLOY,1112595
2056,15:36:26,29,S,DESCENT,682.3,12.8,P,N,27.8,87649,4.1,15:36:26,1311.3,34.1185,-75.2498,4,1.34,0.38,0.1,DEPLOY,1112596
2056,15:36:27,30,S,DESCENT,666.2,16.1,P,N,27.6,87809,4.1,15:36:27,1295.2,34.1289,-75.2369,4,1.17,0.98,0.2,DEPLOY,1112597
